LoRA_0,LoRA_1,LoRA_2,LoRA_3,LoRA_4,LoRA_5,LoRA_6,LoRA_7,LoRA_8,LoRA_9,LoRA_10,LoRA_11,LoRA_12,LoRA_13,LoRA_14,LoRA_15,LoRA_16,LoRA_17,LoRA_18,LoRA_19,LoRA_20,LoRA_21,LoRA_22,LoRA_23,LoRA_24,LoRA_25,LoRA_26,LoRA_27,LoRA_28,LoRA_29,LoRA_30,LoRA_31,LoRA_32,LoRA_33,LoRA_34,LoRA_35,LoRA_36,LoRA_37,LoRA_38,LoRA_39,LoRA_40,LoRA_41,LoRA_42,LoRA_43,LoRA_44,LoRA_45,LoRA_46,LoRA_47,LoRA_48,LoRA_49,LoRA_50,LoRA_51,LoRA_52,LoRA_53,LoRA_54,LoRA_55,LoRA_56,LoRA_57,LoRA_58,LoRA_59,LoRA_60,LoRA_61,LoRA_62,LoRA_63,LoRA_64,LoRA_65,LoRA_66,LoRA_67,LoRA_68,LoRA_69,LoRA_70,LoRA_71,LoRA_72,LoRA_73,LoRA_74,LoRA_75,LoRA_76,LoRA_77,LoRA_78,LoRA_79,LoRA_80,LoRA_81,LoRA_82,LoRA_83,LoRA_84,LoRA_85,LoRA_86,LoRA_87,LoRA_88,LoRA_89,LoRA_90,LoRA_91,LoRA_92,LoRA_93,LoRA_94,LoRA_95,LoRA_96,LoRA_97,LoRA_98,LoRA_99,LoRA_100,LoRA_101,LoRA_102,LoRA_103,LoRA_104,LoRA_105,LoRA_106,LoRA_107,LoRA_108,LoRA_109,LoRA_110,LoRA_111,LoRA_112,LoRA_113,LoRA_114,LoRA_115,LoRA_116,LoRA_117,LoRA_118,LoRA_119,LoRA_120,LoRA_121,LoRA_122,LoRA_123,LoRA_124,LoRA_125
0.0,0.9902642773421517,0.0,0.0,0.0,0.0,0.0,0.0,0.22581340215542792,0.0,0.11021351371255748,0.0,0.0,0.4868454083167483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.337696117023718,0.0,0.0,31.427424868787536,0.19929586502157948,0.0,0.0,0.0,0.0,0.0,2.9417892757863084,0.0,13.196618089266751,7.996694791926163,0.0,0.0,0.0,8.659633220272374,0.4868454083167483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.576765916729096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7292322711808314,0.0,0.0,0.0,0.0,0.0,0.0,0.6463649676375551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.861460153722746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6629384283462104,0.0,0.0,0.0,0.0,4.371250261907825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.3569520955211494,0.0,0.0,0.0,0.0,0.0,0.0,1.344521999989658,0.0,0.0,0.0,0.0,1.2885865700979464,0.0,0.0,0.0,0.0,0.0,0.001841725821249316,0.001841725821249316,9.19827069330367,0.0,0.0,26.80757269624988,0.0,0.0,0.0,0.0,0.0,0.0,3.6668781817899765,0.26310368874990225,12.388661879719807,10.151244684051347,0.0,0.0,0.0,3.4597099229317854,0.2195983543896822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.804651001473108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6215047765745723,0.0,0.0,0.0,0.0,0.0,0.22581340215542792,0.0,0.0,0.0,0.0,0.0,0.0,0.8949668782673841,0.0,0.0,0.0,0.0,0.0,0.0,0.1164285614783032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.69013318915551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054905516139854,0.1990886967627213,0.0,0.0,0.0,3.853329614762348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7830960184839609,0.0,0.0,0.0,0.0,0.0,0.0,0.39776305700772624,0.0,0.0,0.0,0.0,1.097991771948411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.08909420639389,0.0,0.0,39.051216794768955,0.0,0.0,0.0,0.0,0.0,0.0,2.3824349768691935,0.6753685238777019,11.932891710231788,13.714538736412228,0.0,0.0,0.0,4.350533436022006,0.4764869953738387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.842144899800979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925012203344255,0.0,0.0,0.0,0.0,0.0,0.0,2.6931873651564797,0.0,0.0,0.0,0.0,0.0,0.0,0.3646161355904157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8782372261648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8431748135528364,0.1990886967627213,0.0,0.0,0.0,3.7083118335616145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0551091278732523,0.0,0.0,0.0,0.0,0.0,0.0,0.8162429399012715,0.0,0.0,0.0,0.0,1.0544864375881908,0.0,0.0,0.0,0.0,0.0,0.002755337842813937,0.002755337842813937,10.130527858165527,0.0,0.0,47.23436301966749,0.14812530508360638,0.0,0.0,0.0,0.0,0.0,5.054905516139854,0.42055156548212724,9.985510076964793,10.27554563936626,0.2278850847440098,0.0,0.29417892757863084,10.08909420639389,1.0379129768795357,0.0,0.0,0.0,0.32525416640735944,0.0,0.0,0.3397559445274328,0.0,0.0,0.0,0.0,0.0,7.768809707182153,0.4060497873620539,1.4460344468301713,0.0,0.0,0.24238686286408317,0.0,0.0,0.5759277596257703,0.2776054668699756,0.0,0.0,0.0,0.0,0.37290286594474337,0.0,0.8908235130902202,0.0,0.0,0.4101931525392177,0.29417892757863084,5.593542989171151,0.0,0.0,0.0,0.0,0.0,0.0,0.07313039537694133,0.0,0.0,0.0,0.23617181509833746,0.0,0.0,0.0,0.0,0.0,42.32447528472837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137772819683131,0.06277198243403179,0.0,0.0,0.0,2.7760546686997563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.1187085978342302,0.0,0.0,0.0,0.0,0.0,0.0,0.4578418520766016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.881925947535699,0.0,0.0,37.06240150973033,0.14501778120073353,0.0,0.0,0.0,0.0,0.4619852172537654,5.697127118600245,0.6877986194091934,11.746440277259415,8.100278921355258,0.4329816610136186,0.0,0.0,9.571173559248413,0.16304141972139613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15330451155506117,0.0,0.0,0.0,0.0,5.925012203344256,0.0,1.3258768566924208,0.0,0.0,0.0,0.0,0.0,1.8935178859638635,0.0,0.0,0.0,0.0,0.0,0.07499490970666506,0.0,0.0,0.0,0.0,0.0,0.6173614113974084,1.9163063944382643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76118123236749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721568231111565,0.18023638520662594,0.0,0.0,0.0,3.4597099229317854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6774402064662838,0.0,0.0,0.0,0.0,0.0,0.0,0.15537619414364306,0.0,0.0,0.0,0.0,0.22995676733259174,0.0,0.0,0.0,0.0,0.0,0.002755337842813937,0.002755337842813937,10.3169792911379,0.0,0.0,31.510292172330814,0.14501778120073353,0.0,0.0,0.0,0.0,0.0,3.9361969183056242,3.024656579329585,10.917767241826652,9.716191340449146,0.6007879506887531,0.0,0.0,7.478774144780686,0.17132815007572375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.889170909053302,0.0,0.45162680431085583,0.0,0.0,0.0,0.0,0.0,0.5862861725686799,0.0,0.0,0.0,0.0,0.0,0.4143365177163815,0.0,0.0,0.0,0.0,0.0,0.0,3.7497454853332526,0.0,0.0,0.0,0.0,0.0,0.0,0.2548169583955746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5803221568758,0.0,0.0,0.0,0.0,0.8701066872044011,0.0,0.0,0.0,0.0,1.4066724776471153,0.4391967087793644,0.0,0.0,0.0,3.646161355904157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.8168656301863328,0.0,0.0,0.0,0.0,0.0,0.0,0.17153531833458194,0.0,0.0,0.0,0.0,0.8908235130902202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.011819260331297,0.0,0.0,37.60103898276162,0.0,0.0,0.0,0.0,0.0,0.1908019664083937,4.723436301966749,1.3610954606983132,13.424503174010761,10.855616764169195,0.5448525207970417,0.0,0.0,7.333756363579953,0.470271947608093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.542577226475062,0.0,0.7230172234150857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7857903913576043,0.0,0.0,0.0,0.0,0.0,0.0,2.6931873651564797,0.0,0.0,0.0,0.0,0.0,0.0,0.3749745485333253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66153685638216,0.0,0.0,0.0,0.0,1.3403786348124942,0.0,0.0,0.0,0.0,0.940543895216186,0.21752667180110027,0.0,0.0,0.0,3.7704623112190716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.255439648680636,0.0,0.0,0.0,0.0,0.0,0.0,0.7126588104721762,0.0,0.0,0.0,0.0,0.37704623112190716,0.0,0.0,0.0,0.0,0.0,0.002755337842813937,0.0,9.944076425193156,0.0,0.0,36.62734816612812,0.09364005300390221,0.0,0.0,0.0,0.0,0.3894763266533986,3.7290286594474336,0.4806303605510025,11.062785023027386,6.877986194091933,0.35011435747034236,0.0,0.4868454083167483,8.49389861318582,0.5282790600883864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.329816610136187,0.0,0.6028596332773352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0716825885819077,0.0,0.0,0.0,0.0,0.0,0.0,2.216700369782641,0.0,0.0,0.0,0.0,0.0,0.0,0.3148957534644499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.64475978394011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1332103759543035,0.37704623112190716,0.0,0.0,0.0,4.93060456082494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.3010166656294377,0.0,0.0,0.0,0.0,0.0,0.0,0.15537619414364306,0.0,0.0,0.0,0.0,0.6587950631690466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.452464961414183,0.0,0.0,30.826636918098785,0.09364005300390221,0.0,0.0,0.0,0.0,0.14315326687100982,2.7139041910422987,0.3666878181789976,12.492246009148902,9.053252912102936,2.011603793513032,0.0,0.16221274668596336,8.07956209546944,0.27967714945855754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.126588104721762,0.0,0.7416623667123228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3693821910526407,0.0,0.0,0.0,0.0,0.0,0.0,2.7346210169281178,0.0,0.0,0.0,0.0,0.0,0.0,0.24031518027550125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.477372572816634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1124935500684845,0.3791179137104891,0.0,0.0,0.0,4.3090997842503675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.46530228041247,0.0,0.0,0.0,0.0,0.0,0.0,0.38118959629907095,0.0,0.0,0.0,0.0,0.7768809707182153,0.0,0.0,0.0,0.0,0.0,0.001841725821249316,0.004599135346651835,10.068377380508071,0.0,0.0,32.02821281947629,0.0,0.0,0.0,0.0,0.0,1.3134467611609293,2.1131162403535457,0.2548169583955746,13.465936825782398,9.488306255705137,0.8742500523815651,0.0,0.0,8.49389861318582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.026943728736432,0.0,1.0006226902850612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5013471864368216,0.0,0.0,0.0,0.0,0.0,0.0,3.4389930970459663,0.0,0.0,0.0,0.0,0.0,0.0,0.12057192665546702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.57142459132128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255439648680636,0.3625444530018338,0.0,0.0,0.0,4.661285824309292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
